"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available"
"0500000US01003","Baldwin County, Alabama","82325","3231","2248","1032","26515","3492","34260","2872","13522","2351","5780","1334","25327","2805","1763","983","18406","2951","4259","1171","825","597","74","118","31270","2535","214","206","5337","1759","19637","2125","4999","1310","1083","548","12838","2216","165","191","1983","885","4544","1399","4668","1426","1478","627","12890","2234","106","129","789","469","5820","1500","3030","1226","3145","981"
"0500000US01015","Calhoun County, Alabama","44636","2010","2617","1046","14349","1765","15905","1947","7913","1417","3852","1065","13585","1782","1340","609","8393","1558","2981","937","475","410","396","343","14037","1674","807","565","2350","861","7286","1264","2961","771","633","386","7383","1728","239","194","1948","1030","2277","761","2062","857","857","475","9631","1568","231","261","1658","753","3361","1074","2415","915","1966","747"
"0500000US01043","Cullman County, Alabama","32090","1233","579","284","9936","1403","9699","1336","6675","1108","5201","1204","7768","1185","523","268","5409","1099","999","384","164","158","673","528","11365","1325","49","70","2242","811","5361","991","2865","786","848","425","5212","1140","0","206","1728","825","1652","651","959","397","873","475","7745","1133","7","12","557","519","1687","601","2687","795","2807","979"
"0500000US01049","DeKalb County, Alabama","24880","1347","1225","566","7256","1345","8919","1608","5122","1260","2358","648","7551","1315","882","530","4943","1189","1296","452","388","417","42","46","9028","1021","219","219","979","463","4830","933","2531","815","469","202","3357","936","124","169","723","485","978","534","903","581","629","439","4944","1006","0","206","611","388","1815","811","1300","566","1218","432"
"0500000US01051","Elmore County, Alabama","30712","1330","1646","775","8144","1495","11849","1481","4957","991","4116","1330","8767","1512","1244","717","4863","1244","2132","795","462","414","66","121","10641","1212","156","176","1621","544","6249","1099","1747","640","868","436","5538","1239","246","293","875","683","1565","736","1730","789","1122","697","5766","1468","0","206","785","659","1903","725","1018","527","2060","845"
"0500000US01055","Etowah County, Alabama","40053","1930","2276","731","14037","1600","12042","1718","7612","1328","4086","1031","13313","1679","1686","683","7835","1316","2806","875","676","340","310","268","15080","2006","310","252","3436","945","6179","1269","4124","1049","1031","472","4780","1028","28","50","1495","608","1687","665","1011","429","559","351","6880","1387","252","333","1271","550","1370","530","1801","624","2186","879"
"0500000US01069","Houston County, Alabama","39761","1040","2787","500","14618","986","13136","871","6033","748","3187","637","12465","1003","1680","424","8460","889","1823","418","445","182","57","43","14451","1031","642","229","3293","619","7132","732","2249","466","1135","465","5707","771","175","142","1604","518","1783","378","1534","255","611","387","7138","766","290","168","1261","322","2398","395","1805","462","1384","455"
"0500000US01073","Jefferson County, Alabama","264753","3376","18859","2302","90856","4745","96110","4915","40665","3478","18263","2455","84547","4705","13399","1866","55213","4186","12196","1870","2811","985","928","498","90763","4319","3488","1133","20835","2366","47996","3622","14548","2313","3896","1125","38795","3451","562","380","7220","1429","15922","2278","10501","1842","4590","1206","50648","3502","1410","846","7588","1780","19996","2560","12805","2019","8849","1508"
"0500000US01077","Lauderdale County, Alabama","38761","1573","2750","971","11424","1547","13523","1536","6613","1307","4451","1116","12297","1491","1398","526","6752","1289","3362","1229","677","483","108","149","14249","1704","584","354","2411","921","6224","1147","3011","752","2019","822","6040","1372","541","545","1551","960","1428","658","1714","712","806","389","6175","1307","227","268","710","443","2509","909","1211","638","1518","653"
