Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
5/1/2021,27075,17,Lake ,MN,43,4579,4579,49.2,4549,52.9,2129,74.6,95.4,5338,50.2,5337,57.3,5262,61.1,2220,77.8,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
5/1/2021,47003,17,Bedford ,TN,17.3,8622,8622,20.8,8600,23.2,4341,57.5,98.1,11252,22.6,11249,27.1,11172,30.1,4970,65.8,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Mod-High VC/High SVI
5/1/2021,35039,17,Rio Arriba ,NM,37.4,14547,14544,44.1,14283,47.7,4306,55.1,76.1,15783,40.6,,0,,0,,0,,,,,
5/1/2021,40117,17,Pawnee ,OK,28.1,4603,4603,33.1,4555,36.3,1996,62.5,93.1,5561,34,5561,40,5498,43.8,2284,71.5,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,42013,17,Blair ,PA,28.7,34992,34991,33,34933,35.9,17010,65.6,92.4,43836,36,43834,41.4,43577,44.8,19233,74.2,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,72069,17,Humacao Municipio,PR,24.1,12231,12229,27.1,12226,29.4,5132,59.6,96,18472,36.5,18467,40.9,18203,43.8,5982,69.5,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,27115,17,Pine ,MN,26.6,7881,7880,30.3,7870,32.9,4108,64.6,95.4,9989,33.8,9988,38.4,9922,41.5,4532,71.3,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,51610,17,Falls Church city,VA,3.5,510,510,4.2,509,4.6,108,5.3,50,762,5.2,762,6.2,756,6.9,136,6.6,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI
5/1/2021,30081,17,Ravalli ,MT,30.8,13481,13480,34.8,13391,37.6,7265,62.5,95.8,15823,36.1,15822,40.9,15668,44,7982,68.6,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,48295,17,Lipscomb ,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
