County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Autauga ,AL,21397,941,6745,7829,3937,1945
Baldwin ,AL,80930,2656,26040,34844,12503,4887
Barbour ,AL,9345,950,3426,3017,1336,616
Bibb ,AL,6891,425,2121,2570,1051,724
Blount ,AL,20847,860,5429,7346,4413,2799
Bullock ,AL,3521,377,1077,1101,496,470
Butler ,AL,6506,488,2133,2157,1171,557
Calhoun ,AL,44605,2659,13546,16817,7497,4086
Chambers ,AL,13448,980,4210,4602,2451,1205
Cherokee ,AL,10737,480,2879,4072,1801,1505
Chilton ,AL,16927,838,4645,6814,3096,1534
Choctaw ,AL,5300,489,1544,1722,852,693
Clarke ,AL,9090,734,2736,3055,1831,734
Clay ,AL,5198,249,1449,1720,1062,718
Cleburne ,AL,5680,282,1460,2061,1149,728
Coffee ,AL,19924,1170,5788,7361,3852,1753
Colbert ,AL,21880,1198,6675,8342,3662,2003
Conecuh ,AL,4553,308,1861,1557,531,296
Coosa ,AL,4032,162,1129,1597,668,476
Covington ,AL,14852,800,4795,5865,2095,1297
Crenshaw ,AL,4943,335,1401,1849,890,468
Cullman ,AL,31034,1180,9023,11010,6178,3643
Dale ,AL,18806,927,6099,7151,3032,1597
Dallas ,AL,15910,2222,5366,4548,2260,1514
DeKalb ,AL,26040,1344,7295,9525,4833,3043
Elmore ,AL,29708,1346,8493,11234,5538,3097
Escambia ,AL,13089,668,5532,4709,1543,637
Etowah ,AL,38942,2367,12330,13318,7288,3639
Fayette ,AL,6802,513,1937,2225,1409,718
Franklin ,AL,11048,542,3099,4169,1964,1274
Geneva ,AL,10383,631,3165,3528,2058,1001
Greene ,AL,2951,531,966,933,397,124
Hale ,AL,5650,565,2009,1798,931,347
Henry ,AL,6630,415,1897,2287,1489,542
Houston ,AL,39311,2437,14055,14570,5888,2361
Jackson ,AL,20695,896,6309,7190,4059,2241
Jefferson ,AL,261231,20186,91522,93561,38055,17907
Lamar ,AL,5856,405,1841,2009,1053,548
Lauderdale ,AL,38471,2421,11185,14207,6636,4022
Lawrence ,AL,12677,752,3787,3856,2662,1620
Lee ,AL,60237,2650,19351,23127,9981,5128
Limestone ,AL,32143,950,8481,12720,6500,3492
Lowndes ,AL,4251,530,1569,1104,781,267
Macon ,AL,7474,923,2849,2119,734,849
Madison ,AL,148189,6969,48389,56424,23834,12573
Marengo ,AL,7361,771,3045,2067,775,703
Marion ,AL,11997,708,3789,4087,2159,1254
Marshall ,AL,34883,1611,10607,13270,6400,2995
Mobile ,AL,156251,11131,54409,56991,23292,10428
Monroe ,AL,8166,884,2627,2857,1312,486
Montgomery ,AL,89527,7264,33300,31064,12625,5274
Morgan ,AL,45918,2276,12836,17667,8568,4571
Perry ,AL,3070,399,1334,828,323,186
Pickens ,AL,7637,787,2226,2176,1545,903
Pike ,AL,11601,810,4465,3817,1656,853
Randolph ,AL,8702,565,2300,3093,1724,1020
Russell ,AL,23262,2395,7527,8127,3643,1570
St. Clair ,AL,32036,1024,8272,12670,6723,3347
Shelby ,AL,79630,2221,20553,34155,16116,6585
Sumter ,AL,5202,565,2232,1285,706,414
Talladega ,AL,31395,2437,9749,10577,5488,3144
Tallapoosa ,AL,16205,1281,4826,5692,2999,1407
Tuscaloosa ,AL,72461,4359,24340,27933,10681,5148
Walker ,AL,25019,1361,7430,8762,4567,2899
Washington ,AL,5990,255,1920,1973,1163,679
Wilcox ,AL,3854,600,1174,1202,615,263
Winston ,AL,9592,505,2880,3303,1926,978
Aleutians East Borough,AK,890,190,323,282,86,9
Aleutians West Census Area,AK,1187,179,528,323,120,37
Anchorage Municipality,AK,106567,6453,33455,43323,16168,7168
Bethel Census Area,AK,4489,2507,1178,608,151,45
Bristol Bay Borough,AK,314,39,113,97,32,33
Denali Borough,AK,613,21,152,228,118,94
Dillingham Census Area,AK,1427,547,491,297,40,52
Fairbanks North Star Borough,AK,36188,1978,10277,14571,5859,3503
Haines Borough,AK,1007,62,271,439,105,130
Hoonah-Angoon Census Area,AK,791,239,242,199,86,25
Juneau City and Borough,AK,12676,1005,4395,4943,1744,589
Kenai Peninsula Borough,AK,21630,1363,6567,8310,3584,1806
Ketchikan Gateway Borough,AK,5397,678,1837,1797,790,295
Kodiak Island Borough,AK,4261,430,1140,1931,502,258
Kusilvak Census Area,AK,1724,1517,178,29,0,0
Lake and Peninsula Borough,AK,421,201,134,56,28,2
Matanuska-Susitna Borough,AK,31217,1067,7304,11756,6982,4108
Nome Census Area,AK,2844,1605,675,447,85,32
North Slope Borough,AK,1979,763,814,322,70,10
Northwest Arctic Borough,AK,1795,1182,447,144,22,0
Petersburg Borough,AK,1187,187,416,408,107,69
Prince of Wales-Hyder Census Area,AK,2371,252,937,781,253,148
Sitka City and Borough,AK,3547,469,1383,1284,310,101
Skagway Municipality,AK,375,36,141,120,49,29
Southeast Fairbanks Census Area,AK,2170,97,703,723,352,295
Valdez-Cordova Census Area,AK,3177,210,1024,1353,411,179
Wrangell City and Borough,AK,1027,134,351,344,148,50
Yakutat City and Borough,AK,219,28,94,65,21,11
Yukon-Koyukuk Census Area,AK,1856,974,481,282,64,55
Apache ,AZ,20867,2676,7589,6319,2567,1716
Cochise ,AZ,50163,2750,16470,17937,8229,4777
Coconino ,AZ,47447,2328,15222,17435,8158,4304
Gila ,AZ,21945,1292,7600,7427,3921,1705
Graham ,AZ,11017,655,3128,3600,2116,1518
Greenlee ,AZ,3132,52,750,1183,606,541
La Paz ,AZ,9346,641,3936,3372,981,416
Maricopa ,AZ,1552096,92190,548283,602160,215368,94095
Mohave ,AZ,86889,4719,31226,31763,12956,6225
