State Postal Code,County Name,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
,,39149482349,10610438863,9299339059,4750297417,6050102054,5671905522,1803868225,617955221,264392660,50990473,30192855
ND,McIntosh County,307884,128582,40128,16269,45491,45616,18880,10295,2209,342,72
FL,Osceola County,38503123,9113637,8728092,5376681,6598171,5990596,1796183,563868,244425,46336,45134
OK,Pontotoc County,4167298,1055824,1121307,604888,526860,517467,168330,139053,30142,2602,825
TN,Morgan County,2327009,354675,561103,330906,481028,424848,116545,35284,20863,1532,225
MN,Hubbard County,2809674,607363,607029,332343,318630,590596,218255,87665,44003,2271,1519
TN,Madison County,10735279,2692796,2683414,1503650,1866207,1144050,435437,272319,113495,16843,7068
TX,Ward County,1225067,336672,272929,101253,132353,156211,108556,88412,20428,6303,1950
AL,Montgomery County,20140116,5273863,4333390,2937823,4051881,2468522,458473,328210,247256,31521,9177
MI,Mason County,3606789,955357,920235,474757,528918,473443,108976,93601,44689,5491,1322
AR,Garland County,10029237,2652141,2563086,1462697,1778222,1100868,226799,158285,65040,18305,3794
SC,Bamberg County,1678273,398475,297627,197016,258067,293803,142214,72852,15455,1833,931
VA,Goochland County,3272630,691419,686102,416986,519023,595282,288298,54081,16969,2438,2032
IL,Douglas County,2736298,726790,708917,214779,275963,455470,284037,45584,21672,2236,850
LA,Lafourche Parish,11376459,3092234,2329310,1213474,1782115,1853809,795775,230855,59224,10952,8711
WI,Polk County,5984915,1095172,1297441,827308,1080320,1034866,407488,177437,52127,10296,2460
OK,Beaver County,634877,136205,144516,47141,56901,135643,81438,22464,9776,664,129
TN,Lawrence County,4846849,978261,1160123,602515,746479,742978,419175,153282,34188,7994,1854
MO,Callaway County,4851490,815613,1172201,564550,859047,843508,443504,95310,49840,6325,1592
OH,Meigs County,2345179,424267,552001,321304,331297,437962,146637,70267,54231,6722,491
PA,Philadelphia County,148906763,49293209,38026545,20150663,22038664,14266007,2592737,1527314,756134,173296,82194
VT,Rutland County,6018961,1502680,1468943,612451,690427,1303852,290710,111456,31462,4345,2635
MI,Grand Traverse County,10422950,2299819,2392097,1381696,1759529,1978254,407400,99740,84012,16121,4282
FL,Broward County,214889529,68360372,51506138,26813962,32386690,26738491,6406347,1386232,862501,139704,289092
CO,Larimer County,43744556,10904613,10910231,6197246,6782844,5670991,2022423,926084,214677,51594,63853
TX,Terry County,1523520,459196,399152,102746,127404,158174,200821,52235,20648,2831,313
IA,Marion County,3187305,752582,813278,266587,240026,603085,331434,130012,43292,5953,1056
OK,Pushmataha County,1346000,318318,329211,116607,136268,263399,94991,50064,30622,4516,2004
NM,De Baca County,250122,65179,72460,15792,10706,61887,6462,15269,2102,265,0
OR,Columbia County,4557660,927921,898229,372817,633822,812282,739124,120792,42439,6835,3399
NE,Sarpy County,19842994,5090245,4368327,2521639,4059949,3024954,409944,192811,129407,17993,27725
KS,Harper County,742022,202463,224395,65879,71826,109559,40232,25259,1913,428,68
TX,Cameron County,46435435,13115835,11098134,6105868,7830915,5261581,2049546,404534,354422,174222,40378
MN,,756933875,209390206,167003282,82970914,108210862,124148491,43086005,14882151,5985376,714772,541816
WI,Trempealeau County,3958591,756640,773074,450663,575399,841166,398338,106963,44937,10275,1136
IA,Winneshiek County,2658367,646645,642027,268203,286088,556517,152205,83761,20029,2135,757
TX,Lee County,2134422,436271,445888,281421,339033,331659,175637,96347,25373,2347,446
FL,Pinellas County,108155141,35105827,26892375,15677781,16918999,10186740,2463915,429461,335596,53390,91057
KS,Cloud County,1004232,274105,328111,66862,78361,168875,40363,33278,11383,2625,269
IA,Union County,1275563,401035,327205,63850,112175,186485,110848,56142,16762,884,177
TX,Menard County,282876,55519,113953,27832,24255,14414,18858,23676,4271,98,0
VT,Orange County,3765008,566602,946254,382965,661445,618029,479734,92539,14791,1413,1236
ND,Burleigh County,10204152,3002042,2755639,1515661,1713038,666010,194767,229543,108605,5954,12893
TX,Crosby County,668697,298744,93470,26211,72261,74851,75981,22209,4537,365,68
MO,Maries County,958397,181848,184928,84349,141396,228322,91478,28061,16167,1705,143
SD,Oglala Lakota County,1419509,227817,209305,134694,204855,350791,145115,101788,38176,6569,399
OK,Roger Mills County,420876,81069,46209,22070,87625,94240,71013,14834,2963,808,45
VA,Richmond County,1405480,207035,252996,244670,288105,272776,87302,45609,5968,862,157
IL,Mercer County,1877734,375964,468253,126907,211625,398125,235242,40362,18095,1861,1300
IA,Wright County,1594282,441081,492887,75061,158609,261259,106263,38354,18431,1916,421
WV,Wyoming County,1184368,188354,168443,125350,207200,307928,129630,19949,34296,2617,601
NC,Mecklenburg County,111135535,31836078,25777235,14050969,18417143,15823455,3062139,1070741,846712,160337,90726
LA,Caddo Parish,25713704,6828132,6323083,3419874,4759283,3042055,732801,283632,250566,58081,16197
NE,Burt County,767455,171733,120474,90727,109822,146151,80174,43893,4119,245,117
FL,Hendry County,4807350,1423193,1109990,537300,518378,607274,389711,165226,47091,6718,2469
OK,Sequoyah County,4999273,1175453,1136188,532879,779408,953716,264857,92511,55218,7635,1408
MD,Somerset County,3340509,702873,776198,326513,438590,728957,282978,53793,27117,3293,197
AR,Hempstead County,2098612,408727,579315,202946,277996,361928,171634,56831,34563,4373,299
SC,Kershaw County,6524784,1329797,1393836,844783,1036160,1141886,513950,163391,87474,11813,1694
NC,Clay County,1148718,209980,218225,175131,204138,243556,49605,30890,13273,3388,532
GA,Grady County,3215732,742846,642637,361758,548832,551296,245560,76955,39860,5775,213
