FIPS Code,State,Area name,lessthan_high_school_diploma,high_school_diploma_only,some_college_or_associates,bachelors_degree_or_higher,lessthan_high_school_diploma_percent,high_school_diploma_only_percent,some_college_or_associates_percent,bachelors_degree_or_higher_percent
0,US,United States,"26,472,261","59,472,748","63,756,905","70,920,162",12.0,27.0,28.9,32.1
1000,AL,Alabama,"458,922","1,022,839","993,344","845,772",13.8,30.8,29.9,25.5
1001,AL,Autauga ,"4,291","12,551","10,596","9,929",11.5,33.6,28.4,26.6
1003,AL,Baldwin ,"13,893","41,797","47,274","48,148",9.2,27.7,31.3,31.9
1005,AL,Barbour ,"4,812","6,396","4,676","2,080",26.8,35.6,26.0,11.6
1007,AL,Bibb ,"3,386","7,256","3,848","1,678",20.9,44.9,23.8,10.4
1009,AL,Blount ,"7,763","13,299","13,519","5,210",19.5,33.4,34.0,13.1
1011,AL,Bullock ,"1,798","2,860","1,587",856,25.3,40.3,22.3,12.1
1013,AL,Butler ,"2,066","6,244","3,279","2,230",15.0,45.2,23.7,16.1
1015,AL,Calhoun ,"12,315","25,940","26,233","14,620",15.6,32.8,33.2,18.5
1017,AL,Chambers ,"4,372","8,739","7,515","3,163",18.4,36.7,31.6,13.3
1019,AL,Cherokee ,"3,478","7,598","5,391","2,407",18.4,40.3,28.6,12.8
1021,AL,Chilton ,"5,474","13,348","7,401","3,823",18.2,44.4,24.6,12.7
1023,AL,Choctaw ,"1,737","3,515","2,964","1,113",18.6,37.7,31.8,11.9
1025,AL,Clarke ,"3,259","7,005","4,456","2,050",19.4,41.8,26.6,12.2
1027,AL,Clay ,"2,205","3,577","2,678",999,23.3,37.8,28.3,10.6
1029,AL,Cleburne ,"2,198","3,980","2,687","1,616",21.0,38.0,25.6,15.4
1031,AL,Coffee ,"4,967","9,615","12,667","8,044",14.1,27.2,35.9,22.8
1033,AL,Colbert ,"5,783","14,740","11,366","7,070",14.8,37.8,29.2,18.1
1035,AL,Conecuh ,"1,384","4,516","1,805","1,128",15.7,51.1,20.4,12.8
1037,AL,Coosa ,"1,652","3,327","2,221","1,059",20.0,40.3,26.9,12.8
1039,AL,Covington ,"4,366","9,819","8,119","4,020",16.6,37.3,30.8,15.3
1041,AL,Crenshaw ,"2,016","3,830","2,157","1,687",20.8,39.5,22.3,17.4
1043,AL,Cullman ,"10,648","19,668","19,406","8,004",18.4,34.1,33.6,13.9
