State,Airport Name,Loc ID,Associated City,County,Enplane- ments2,HUB3,"Ozone
(8-Hour)4",CO,PM10  ,PM2.5,Note5,VALE Eligible,,,,,,,,,,,,,,
AK,Ted Stevens Anchorage International,ANC,Anchorage,Anchorage ,"2,525,893",M,,Maintenance,,,,Yes,,,,,,,,,,,,,,
AK,Fairbanks International,FAI,Fairbanks,Fairbanks North Star,"493,443",S,,Maintenance,,Nonattainment,,Yes,,,,,,,,,,,,,,
AK,Juneau International,JNU,Juneau,Juneau,"403,538",S,,,Maintenance,,,Yes,,,,,,,,,,,,,,
AK,Bethel,BET,Bethel,Bethel (CA),"158,824",N,,,,,,No,,,,,,,,,,,,,,
AK,Ketchikan International,KTN,Ketchikan,Ketchikan Gateway,"124,747",N,,,,,,No,,,,,,,,,,,,,,
AK,Kenai Municipal,ENA,Kenai,Kenai Peninsula,"97,820",N,,,,,,No,,,,,,,,,,,,,,
AK,Kodiak,ADQ,Kodiak,Kodiak Island,"81,970",N,,,,,,No,,,,,,,,,,,,,,
AK,Sitka Rocky Gutierrez,SIT,Sitka,Sitka,"81,019",N,,,,,,No,,,,,,,,,,,,,,
AK,Deadhorse,SCC,Deadhorse,North Slope,"77,152",N,,,,,,No,,,,,,,,,,,,,,
AK,Ralph Wien Memorial,OTZ,Kotzebue,Northwest Arctic,"66,503",N,,,,,,No,,,,,,,,,,,,,,
AK,Nome,OME,Nome,Nome (CA),"59,929",N,,,,,,No,,,,,,,,,,,,,,
AK,Wiley Post-Will Rogers Memorial,BRW,Barrow,North Slope,"47,676",N,,,,,,No,,,,,,,,,,,,,,
AK,Homer,HOM,Homer,Kenai Peninsula,"40,770",N,,,,,,No,,,,,,,,,,,,,,
AK,King Salmon,AKN,King Salmon,Bristol Bay,"35,693",N,,,,,,No,,,,,,,,,,,,,,
AK,Unalaska,DUT,Unalaska,Aleutians West (CA),"31,753",N,,,,,,No,,,,,,,,,,,,,,
AK,Dillingham,DLG,Dillingham,Dillingham (CA),"26,949",N,,,,,,No,,,,,,,,,,,,,,
AK,Lake Hood,LHD,Anchorage,Anchorage ,"20,586",N,,Maintenance,,,,Yes,,,,,,,,,,,,,,
AK,Petersburg James A Johnson,PSG,Petersburg,Wrangell-Petersburg,"20,477",N,,,,,,No,,,,,,,,,,,,,,
AK,Merle K (Mudhole) Smith,CDV,Cordova,Valdez-Cordova (CA),"16,997",N,,,,,,No,,,,,,,,,,,,,,
AK,Unalakleet,UNK,Unalakleet,Nome (CA),"15,927",N,,,,,,No,,,,,,,,,,,,,,
AK,Merrill Field,MRI,Anchorage,Anchorage ,"15,091",N,,Maintenance,,,,Yes,,,,,,,,,,,,,,
AK,Valdez Pioneer Field,VDZ,Valdez,Valdez-Cordova (CA),"14,153",N,,,,,,No,,,,,,,,,,,,,,
AK,Aniak,ANI,Aniak,Kuskokwim,"13,771",N,,,,,,No,,,,,,,,,,,,,,
AK,St Mary's,KSM,St Mary's,Wade Hampton (CA),"13,192",N,,,,,,No,,,,,,,,,,,,,,
AK,Wrangell,WRG,Wrangell,Wrangell-Petersburg,"12,588",N,,,,,,No,,,,,,,,,,,,,,
AK,Gustavus,GST,Gustavus,Skagway-Hoonah,"11,189",N,,,,,,No,,,,,,,,,,,,,,
AK,Edward G Pitka Sr,GAL,Galena,Yukon-Koyukuk,"10,703",N,,,,,,No,,,,,,,,,,,,,,
AK,Yakutat,YAK,Yakutat,Yukatat,"10,230",N,,,,,,No,,,,,,,,,,,,,,
AK,Hoonah,HNH,Hoonah,Skagway-Hoonah,"10,050",N,,,,,,No,,,,,,,,,,,,,,
AK,Klawock,AKW,Klawock,Prince of Wales ,"9,966",None,,,,,,No,,,,,,,,,,,,,,
AK,Haines,HNS,Haines,Haines,"8,945",None,,,,,,No,,,,,,,,,,,,,,
AK,Quinhagak,AQH,Quinhagak,Bethel (CA),"8,543",None,,,,,,No,,,,,,,,,,,,,,
AK,Skagway,SGY,Skagway,Skagway-Hoonah,"8,239",None,,,,,,No,,,,,,,,,,,,,,
AK,Emmonak,ENM,Emmonak,Wade Hampton (CA),"7,597",None,,,,,,No,,,,,,,,,,,,,,
AK,Cold Bay,CDB,Cold Bay,Aleutians East,"7,019",None,,,,,,No,,,,,,,,,,,,,,
AK,Fort Yukon,FYU,Fort Yukon,Yukon-Koyukuk,"6,691",None,,,,,,No,,,,,,,,,,,,,,
AK,Kipnuk,IIK,Kipnuk,Bethel (CA),"6,475",None,,,,,,No,,,,,,,,,,,,,,
AK,Chevak,VAK,Chevak,Wade Hampton (CA),"6,455",None,,,,,,No,,,,,,,,,,,,,,
AK,Hooper Bay,HPB,Hooper Bay,Wade Hampton (CA),"6,288",None,,,,,,No,,,,,,,,,,,,,,
AK,Toksook Bay,OOK,Toksook Bay,Wade Hampton (CA),"6,148",None,,,,,,No,,,,,,,,,,,,,,
AK,Iliamna,ILI,Iliamna,Lake and Peninsula,"5,865",None,,,,,,No,,,,,,,,,,,,,,
AK,Selawik,WLK,Selawik,Kobuk,"5,376",None,,,,,,No,,,,,,,,,,,,,,
AK,Chefornak,CFK,Chefornak,Bethel (CA),"5,018",None,,,,,,No,,,,,,,,,,,,,,
AK,Point Hope,PHO,Point Hope,Kobuk,"4,974",None,,,,,,No,,,,,,,,,,,,,,
AK,Scammon Bay,SCM,Scammon Bay,Wade Hampton (CA),"4,902",None,,,,,,No,,,,,,,,,,,,,,
AK,Mountain Village,MOU,Mountain Village,Wade Hampton (CA),"4,692",None,,,,,,No,,,,,,,,,,,,,,
AK,Kotlik,2A9,Kotlik,Wade Hampton (CA),"4,484",None,,,,,,No,,,,,,,,,,,,,,
AK,Robert /Bob/ Curtis Memorial,D76,Noorvik,Kobuk,"4,423",None,,,,,,No,,,,,,,,,,,,,,
AK,Noatak,WTK,Noatak,Northwest Arctic,"4,392",None,,,,,,No,,,,,,,,,,,,,,
AK,Kongiganak,DUY,Kongiganak,Bethel (CA),"4,298",None,,,,,,No,,,,,,,,,,,,,,
AK,Sand Point,SDP,Sand Point,Aleutians East,"4,146",None,,,,,,No,,,,,,,,,,,,,,
AK,Kasigluk,Z09,Kasigluk,Bethel (CA),"4,109",None,,,,,,No,,,,,,,,,,,,,,
AK,Buckland,BVK,Buckland,Unorganized,"4,063",None,,,,,,No,,,,,,,,,,,,,,
AK,Tuntutuliak,A61,Tuntutuliak,Bethel (CA),"4,007",None,,,,,,No,,,,,,,,,,,,,,
AK,Wainwright,AWI,Wainwright,Barrow,"3,989",None,,,,,,No,,,,,,,,,,,,,,
AK,Seldovia,SOV,Seldovia,Kenai Peninsula,"3,926",None,,,,,,No,,,,,,,,,,,,,,
AK,Alakanuk,AUK,Alakanuk,Wade Hampton (CA),"3,845",None,,,,,,No,,,,,,,,,,,,,,
AK,Eek,EEK,Eek,Bethel (CA),"3,832",None,,,,,,No,,,,,,,,,,,,,,
AK,Kwigillingok,GGV,Kwigillingok,Bethel (CA),"3,794",None,,,,,,No,,,,,,,,,,,,,,
AK,Pilot Station,0AK,Pilot Station,Wade Hampton (CA),"3,727",None,,,,,,No,,,,,,,,,,,,,,
AK,Savoonga,SVA,Savoonga,Nome (CA),"3,690",None,,,,,,No,,,,,,,,,,,,,,
AK,Nunapitchuk,16A,Nunapitchuk,Bethel (CA),"3,449",None,,,,,,No,,,,,,,,,,,,,,
AK,Kivalina,KVL,Kivalina,Northwest Arctic,"3,433",None,,,,,,No,,,,,,,,,,,,,,
AK,Kwethluk,KWT,Kwethluk,Bethel (CA),"3,429",None,,,,,,No,,,,,,,,,,,,,,
AK,Newtok,EWU,Newtok,Bethel (CA),"3,406",None,,,,,,No,,,,,,,,,,,,,,
AK,Anaktuvuk Pass,AKP,Anaktuvuk Pass,North Slope,"3,402",None,,,,,,No,,,,,,,,,,,,,,
AK,Shishmaref,SHH,Shishmaref,Nome (CA),"3,366",None,,,,,,No,,,,,,,,,,,,,,
AK,Gambell,GAM,Gambell,Nome (CA),"3,309",None,,,,,,No,,,,,,,,,,,,,,
AK,Kalskag,KLG,Kalskag,Kuskokwim,"3,292",None,,,,,,No,,,,,,,,,,,,,,
AK,Akiachak,Z13,Akiachak,Bethel (CA),"3,279",None,,,,,,No,,,,,,,,,,,,,,
AK,Bob Baker Memorial,IAN,Kiana,Kobuk,"3,276",None,,,,,,No,,,,,,,,,,,,,,
AK,Marshall Don Hunter Sr,MDM,Marshall,Wade Hampton (CA),"3,179",None,,,,,,No,,,,,,,,,,,,,,
AK,Ralph M Calhoun Memorial,TAL,Tanana,Yukon-Koyukuk,"2,997",None,,,,,,No,,,,,,,,,,,,,,
AK,Tununak,4KA,Tununak,Bethel (CA),"2,963",None,,,,,,No,,,,,,,,,,,,,,
AK,Huslia,HLA,Huslia,Yukon-Koyukuk,"2,936",None,,,,,,No,,,,,,,,,,,,,,
AK,Coldfoot,CXF,Coldfoot,Wade Hampton (CA),"2,894",None,,,,,,No,,,,,,,,,,,,,,
AK,Barter Island LRRS,BTI,Kaktovik,North Slope,"2,882",None,,,,,,No,,,,,,,,,,,,,,
AK,Metlakatla,MTM,Metlakatla,Prince of Wales ,"2,880",None,,,,,,No,,,,,,,,,,,,,,
AK,McGrath,MCG,McGrath,Kuskokwim,"2,877",None,,,,,,No,,,,,,,,,,,,,,
AK,St Paul Island,SNP,Saint Paul Island,Aleutians West (CA),"2,778",None,,,,,,No,,,,,,,,,,,,,,
