"","County","TotPop","State","GeoName","WhitePct","BachelorsPct","Dose1Pct","CarPct","IncomePerCap","AirportEnplanements","TripsOver100PerCap","TripsOver250PerCap"
"1","Autauga",55869,"AL","Autauga, AL",76.2623279457302,26.6,25.3,95.6021872225078,43917,NA,1.24657681361757,0.195797311568133
"2","Baldwin",223234,"AL","Baldwin, AL",87.4409812125393,31.9,29.6,96.7181514889411,47485,NA,0.825429818038471,0.228831629590475
"3","Barbour",24686,"AL","Barbour, AL",49.1533662804829,11.6,22.4,89.8341359015516,35763,NA,1.08879526857328,0.136271570930892
"4","Bibb",22394,"AL","Bibb, AL",76.7660980619809,10.4,19.8,93.8325351908286,31725,NA,1.11565597928016,0.220103599178351
"5","Blount",57826,"AL","Blount, AL",95.8254072562515,13.1,18.5,95.8747061927376,36412,NA,1.37282537266973,0.29753052260229
"6","Bullock",10101,"AL","Bullock, AL",26.6211266211266,12.1,36.1,89.2928145413235,29080,NA,3.08672408672409,0.469161469161469
"7","Butler",19448,"AL","Butler, AL",52.072192513369,16.1,28,92.4992314786351,37523,NA,1.83057383792678,0.175390785684903
"8","Calhoun",113605,"AL","Calhoun, AL",75.1040887284891,18.5,29.3,94.0387848895864,38394,NA,0.997975441221777,0.0980326570133357
"9","Chambers",33254,"AL","Chambers, AL",57.0457689300535,13.3,20.4,92.7126710291493,35900,NA,1.05530161785048,0.216876165273351
"10","Cherokee",26196,"AL","Cherokee, AL",93.1783478393648,12.8,22.7,95.5294775076837,36432,NA,0.89834325851275,0.0736753702855398
"11","Chilton",44428,"AL","Chilton, AL",87.0554605203925,12.7,20.2,95.049329473622,36188,NA,1.36603043125957,0.110380840911137
"12","Choctaw",12589,"AL","Choctaw, AL",57.1212963698467,11.9,40.8,90.7735849056604,40145,NA,1.2859639367702,0.0693462546667726
"13","Clarke",23622,"AL","Clarke, AL",52.992972652612,12.2,32.3,91.9251925192519,37965,NA,1.20612141224282,0.174286681906697
"14","Clay",13235,"AL","Clay, AL",83.2262939176426,10.6,28.4,95.2096960369373,34322,NA,1.01601813373631,0.18043067623725
"15","Cleburne",14910,"AL","Cleburne, AL",95.0771294433266,15.4,21.5,95.0352112676056,35791,NA,1.28759221998659,0.1981220657277
"16","Coffee",52342,"AL","Coffee, AL",75.788086049444,22.8,22.5,94.1276852037743,43979,NA,1.33932597149517,0.185969202552444
